,recall,f1,precision,specificity,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,brier,threshold,tp,fn,fp,tn
CNN @ limiar clinico 0.194,0.9872,0.9178,0.8575,0.7265,0.8894,0.8568,0.9709,0.9801,0.7691,0.0659,0.1938,385,5,64,170
CNN @ limiar padrao 0.50,0.9821,0.9364,0.8949,0.8077,0.9167,0.8949,0.9709,0.9801,0.8237,0.0659,0.5,383,7,45,189
