,recall,f1,precision,specificity,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,brier,threshold,tp,fn,fp,tn
Regressao Logistica,0.9767,0.9655,0.9545,0.9718,0.9737,0.9743,0.9957,0.9946,0.9444,0.0203,0.5,42,1,2,69
SVM (kernel RBF),0.9767,0.9545,0.9333,0.9577,0.9649,0.9672,0.9957,0.9946,0.9266,0.0214,0.5,42,1,3,68
Gradient Boosting,0.9535,0.9535,0.9535,0.9718,0.9649,0.9627,0.9934,0.9903,0.9253,0.0335,0.5,41,2,2,69
Random Forest,0.9535,0.9213,0.8913,0.9296,0.9386,0.9415,0.9902,0.9876,0.8724,0.0406,0.5,41,2,5,66
KNN (k-vizinhos mais proximos),0.9302,0.9639,1.0,1.0,0.9737,0.9651,0.9974,0.9962,0.9447,0.0208,0.5,40,3,0,71
Arvore de Decisao,0.907,0.8667,0.8298,0.8873,0.8947,0.8972,0.9687,0.9544,0.7821,0.0605,0.5,39,4,8,63
