,feature,coeficiente,odds_ratio_por_dp,importancia
0,texture_worst,1.423805810022454,4.152895534151452,1.423805810022454
1,radius_se,1.243632348517712,3.4681882814415927,1.243632348517712
2,symmetry_worst,1.0591019174562029,2.8837799535237107,1.0591019174562029
3,concave_points_mean,0.9548136892686239,2.5981864678019333,0.9548136892686239
4,area_se,0.9334057105582924,2.5431556976990404,0.9334057105582924
5,area_worst,0.9240920610604205,2.519579597104545,0.9240920610604205
6,compactness_se,-0.9158403486374685,0.4001801938697778,0.9158403486374685
7,concavity_worst,0.9106268816660369,2.4858803978808455,0.9106268816660369
8,radius_worst,0.8965850868702369,2.4512181053803825,0.8965850868702369
9,concavity_mean,0.7905353712831299,2.204576377255662,0.7905353712831299
10,perimeter_se,0.7591775741113429,2.1365183697260552,0.7591775741113429
11,perimeter_worst,0.7260717907974831,2.0669452460974758,0.7260717907974831
12,concave_points_worst,0.697882345975113,2.009492788054076,0.697882345975113
13,fractal_dimension_se,-0.5812903385255251,0.5591763740402041,0.5812903385255251
14,texture_mean,0.48394460176718535,1.6224617616481722,0.48394460176718535
15,concave_points_se,0.46808046933079184,1.5969259010754773,0.46808046933079184
16,area_mean,0.4487192077476791,1.5663047891969983,0.4487192077476791
17,compactness_mean,-0.4485484322950654,0.6385543841363925,0.4485484322950654
18,smoothness_worst,0.4265991495803526,1.5320384203790682,0.4265991495803526
19,texture_se,-0.40702483340742407,0.665627660293393,0.40702483340742407
20,radius_mean,0.3504613532171229,1.41972239101733,0.3504613532171229
21,perimeter_mean,0.34448897810192414,1.4112685462333558,0.34448897810192414
22,smoothness_mean,0.3410002646142706,1.4063536130033554,0.3410002646142706
23,symmetry_se,-0.3217487684344104,0.7248802802632511,0.3217487684344104
24,smoothness_se,0.2520200433930858,1.2866218252933972,0.2520200433930858
25,compactness_worst,-0.1677239504258911,0.8455872264630632,0.1677239504258911
26,symmetry_mean,-0.1650774705290103,0.8478280198584445,0.1650774705290103
27,concavity_se,-0.09917401982795146,0.9055851045467926,0.09917401982795146
28,fractal_dimension_mean,-0.0682272927619804,0.9340481470648189,0.0682272927619804
29,fractal_dimension_worst,0.059075248510343896,1.0608550655001439,0.059075248510343896
