,feature,shap_medio_abs
0,texture_worst,0.06313123381258767
1,symmetry_worst,0.04197985093767586
2,concavity_worst,0.041083072965233114
3,concave_points_mean,0.040349154675438516
4,radius_se,0.039013847364672505
5,concavity_mean,0.035482745465252805
6,radius_worst,0.03441988061307687
7,concave_points_worst,0.033740387133582586
8,area_worst,0.03247152368448744
9,perimeter_worst,0.030751329565580535
10,compactness_se,0.030092701607270053
11,perimeter_se,0.02363262350502745
12,area_se,0.021126282196598067
13,texture_mean,0.020197888310349636
14,compactness_mean,0.01739460742324303
15,area_mean,0.01657724532985646
16,fractal_dimension_se,0.015332153154104706
17,concave_points_se,0.015153735392952903
18,texture_se,0.014643059234694859
19,smoothness_worst,0.014505967383626236
20,radius_mean,0.013518605779121041
21,perimeter_mean,0.012661556807775672
22,smoothness_mean,0.01081635790269618
23,symmetry_se,0.00838829740090704
24,smoothness_se,0.008332159937996365
25,compactness_worst,0.006893668987256075
26,symmetry_mean,0.005680980757682871
27,concavity_se,0.0025882919824538595
28,fractal_dimension_mean,0.002197488506775527
29,fractal_dimension_worst,0.0021488705916153186
