,feature,queda_media,desvio
0,symmetry_worst,0.009837962962962993,0.0026203228784266986
1,texture_worst,0.0085978835978836,0.00416325341005758
2,concavity_worst,0.00780423280423283,0.002683262271838762
3,concave_points_mean,0.002876984126984139,0.00228892360855452
4,concave_points_worst,0.002810846560846575,0.0014990776397676268
5,concavity_mean,0.002711640211640232,0.0019099906188086893
6,radius_worst,0.0021660052910052853,0.001773038861147988
7,area_worst,0.0017691798941799008,0.0015343167001911737
8,texture_se,0.001471560846560871,0.0008132164436083284
9,perimeter_worst,0.0014054232804233014,0.0013549124268436433
10,radius_se,0.0009093915343915294,0.002242529235544996
11,smoothness_worst,0.0008763227513227612,0.0007340599497494042
12,smoothness_mean,0.00023148148148149916,0.0005831743415525265
13,area_se,0.00021494708994709288,0.0013804979271585
14,concave_points_se,0.00014880952380952884,0.001011034440886936
15,compactness_se,8.267195767198144e-05,0.0017742719579578769
16,symmetry_se,6.613756613758071e-05,0.0005592438665769451
17,area_mean,4.960317460320773e-05,0.0007414711416924121
18,perimeter_mean,4.9603174603185526e-05,0.0006718336525763853
19,fractal_dimension_worst,1.6534391534395178e-05,7.207174179136299e-05
20,radius_mean,1.6653345369377347e-17,0.0006857288807317192
21,perimeter_se,0.0,0.0012977127559754328
22,fractal_dimension_se,-3.30687830687626e-05,0.001474808407472056
23,symmetry_mean,-0.0002810846560846347,0.00048233968736159996
24,fractal_dimension_mean,-0.00029761904761904103,0.00023148148148145872
25,concavity_se,-0.00029761904761904103,0.00027468994255679964
26,smoothness_se,-0.0004960317460316943,0.0006736623276277266
27,compactness_worst,-0.0011078042328041882,0.0004346375472253688
28,texture_mean,-0.0011904761904761862,0.0014084351480851064
29,compactness_mean,-0.0012731481481481287,0.0008051077264510613
