,recall,f1,precision,specificity,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,brier,threshold,tp,fn,fp,tn
Regressao Logistica @ limiar clinico 0.093,0.9762,0.9111,0.8542,0.9028,0.9298,0.9395,0.996,0.9943,0.8588,0.0211,0.0934,41,1,7,65
Regressao Logistica @ limiar padrao 0.50,0.9524,0.9639,0.9756,0.9861,0.9737,0.9692,0.996,0.9943,0.9433,0.0211,0.5,40,2,1,71
